Noise_Type,Noise_Rate,Fold,Model,Accuracy,F1
asymmetric,0.2,2,KNN,0.9122807017543859,0.9285714285714286
asymmetric,0.2,2,LightGBM,0.9122807017543859,0.927536231884058
asymmetric,0.2,3,Logistic Regression,0.8421052631578947,0.8636363636363636
asymmetric,0.2,3,Decision Tree,0.8157894736842105,0.8396946564885496
asymmetric,0.2,3,Random Forest,0.9385964912280702,0.950354609929078
asymmetric,0.2,3,SVM,0.9736842105263158,0.9793103448275862
asymmetric,0.2,3,KNN,0.9385964912280702,0.951048951048951
asymmetric,0.2,3,LightGBM,0.9473684210526315,0.9571428571428572
asymmetric,0.2,4,Logistic Regression,0.9385964912280702,0.948905109489051
asymmetric,0.2,4,Decision Tree,0.8157894736842105,0.8292682926829268
asymmetric,0.2,4,Random Forest,0.9210526315789473,0.9333333333333333
asymmetric,0.2,4,SVM,0.9298245614035088,0.9411764705882353
asymmetric,0.2,4,KNN,0.8859649122807017,0.9007633587786259
asymmetric,0.2,4,LightGBM,0.9122807017543859,0.9253731343283582
asymmetric,0.2,5,Logistic Regression,0.9557522123893806,0.9640287769784173
asymmetric,0.2,5,Decision Tree,0.831858407079646,0.8527131782945736
asymmetric,0.2,5,Random Forest,0.9557522123893806,0.9645390070921985
asymmetric,0.2,5,SVM,0.9911504424778761,0.993006993006993
asymmetric,0.2,5,KNN,0.9026548672566371,0.9185185185185185
asymmetric,0.2,5,LightGBM,0.9203539823008849,0.935251798561151
asymmetric,0.3,1,Logistic Regression,0.8421052631578947,0.8548387096774194
asymmetric,0.3,1,Decision Tree,0.7982456140350878,0.8099173553719008
asymmetric,0.3,1,Random Forest,0.8859649122807017,0.8992248062015504
asymmetric,0.3,1,SVM,0.9473684210526315,0.9558823529411765
asymmetric,0.3,1,KNN,0.8859649122807017,0.8992248062015504
asymmetric,0.3,1,LightGBM,0.8421052631578947,0.8548387096774194
asymmetric,0.3,2,Logistic Regression,0.9473684210526315,0.9558823529411765
asymmetric,0.3,2,Decision Tree,0.7456140350877193,0.7642276422764228
asymmetric,0.3,2,Random Forest,0.8947368421052632,0.9117647058823529
asymmetric,0.3,2,SVM,0.956140350877193,0.9645390070921985
asymmetric,0.3,2,KNN,0.8508771929824561,0.8702290076335878
asymmetric,0.3,2,LightGBM,0.868421052631579,0.8872180451127819
asymmetric,0.3,3,Logistic Regression,0.8157894736842105,0.832
asymmetric,0.3,3,Decision Tree,0.7280701754385965,0.7394957983193278
asymmetric,0.3,3,Random Forest,0.8596491228070176,0.8787878787878788
asymmetric,0.3,3,SVM,0.956140350877193,0.965034965034965
asymmetric,0.3,3,KNN,0.8596491228070176,0.8805970149253731
asymmetric,0.3,3,LightGBM,0.8421052631578947,0.859375
asymmetric,0.3,4,Logistic Regression,0.8771929824561403,0.8923076923076924
asymmetric,0.3,4,Decision Tree,0.7807017543859649,0.7933884297520661
asymmetric,0.3,4,Random Forest,0.8508771929824561,0.8661417322834646
asymmetric,0.3,4,SVM,0.8947368421052632,0.9090909090909091
asymmetric,0.3,4,KNN,0.7807017543859649,0.7899159663865546
asymmetric,0.3,4,LightGBM,0.8421052631578947,0.8571428571428571
asymmetric,0.3,5,Logistic Regression,0.8584070796460177,0.875
asymmetric,0.3,5,Decision Tree,0.6814159292035398,0.6666666666666666
asymmetric,0.3,5,Random Forest,0.8672566371681416,0.8854961832061069
asymmetric,0.3,5,SVM,0.9557522123893806,0.9640287769784173
asymmetric,0.3,5,KNN,0.8141592920353983,0.832
asymmetric,0.3,5,LightGBM,0.8141592920353983,0.832
