Noise_Type,Noise_Rate,Fold,Model,Accuracy,F1
symmetric,0.2,4,SVM,0.8501228501228502,0.6420537897310513
symmetric,0.2,4,KNN,0.7872645372645373,0.5779853777416735
symmetric,0.2,4,LightGBM,0.8713144963144963,0.7066511085180863
symmetric,0.2,5,Logistic Regression,0.80999180999181,0.4727272727272727
symmetric,0.2,5,Decision Tree,0.6694307944307945,0.445474841147175
symmetric,0.2,5,Random Forest,0.8233005733005733,0.6098553345388789
symmetric,0.2,5,SVM,0.8414209664209664,0.5994310835272821
symmetric,0.2,5,KNN,0.7687346437346437,0.5358537086500924
symmetric,0.2,5,LightGBM,0.8660933660933661,0.6872309899569584
symmetric,0.3,1,Logistic Regression,0.8094994369945747,0.44563598450997916
symmetric,0.3,1,Decision Tree,0.6183846862524311,0.3932291666666667
symmetric,0.3,1,Random Forest,0.7821680827106152,0.5583229555832295
symmetric,0.3,1,SVM,0.8382638959975433,0.5936213991769548
symmetric,0.3,1,KNN,0.7028355000511823,0.4636985036024386
symmetric,0.3,1,LightGBM,0.8551540587572934,0.6626936829558999
symmetric,0.3,2,Logistic Regression,0.8099088954857201,0.44517478338810873
symmetric,0.3,2,Decision Tree,0.615518476814413,0.39961636828644503
symmetric,0.3,2,Random Forest,0.7869792199815744,0.5643709441071803
symmetric,0.3,2,SVM,0.8401064592076978,0.5854564755838642
symmetric,0.3,2,KNN,0.7086702835500052,0.47001862197392924
symmetric,0.3,2,LightGBM,0.8601699252738254,0.6682855755220981
symmetric,0.3,3,Logistic Regression,0.812960687960688,0.5020441537203598
symmetric,0.3,3,Decision Tree,0.6216216216216216,0.41033822590938096
symmetric,0.3,3,Random Forest,0.7830671580671581,0.5714863498483317
symmetric,0.3,3,SVM,0.8386568386568387,0.6079601990049751
symmetric,0.3,3,KNN,0.7071048321048321,0.4870001793078716
symmetric,0.3,3,LightGBM,0.8552416052416052,0.6729879740980573
symmetric,0.3,4,Logistic Regression,0.8153153153153153,0.4722059684025746
symmetric,0.3,4,Decision Tree,0.6173218673218673,0.4089184060721063
symmetric,0.3,4,Random Forest,0.7966830466830467,0.5853862212943632
symmetric,0.3,4,SVM,0.8483824733824734,0.6305811923172862
symmetric,0.3,4,KNN,0.7104832104832105,0.48148148148148145
symmetric,0.3,4,LightGBM,0.8650696150696151,0.6913348946135831
symmetric,0.3,5,Logistic Regression,0.8079443079443079,0.45717592592592593
symmetric,0.3,5,Decision Tree,0.6110769860769861,0.38893356924561684
symmetric,0.3,5,Random Forest,0.7791769041769042,0.546372239747634
